"sip","sport","dip","dport","proto","first_timestamp","total_time","pkt_fwd_count","pl_fwd_count","last_timestamp_fwd","pl_len_fwd_mean","pl_len_fwd_stdev","pl_len_fwd_total","pl_len_fwd_min","pl_len_fwd_max","pkt_len_fwd_mean","pkt_len_fwd_stdev","pkt_len_fwd_total","pkt_len_fwd_min","pkt_len_fwd_max","pkt_bwd_count","pl_bwd_count","last_timestamp_bwd","pl_len_bwd_mean","pl_len_bwd_stdev","pl_len_bwd_total","pl_len_bwd_min","pl_len_bwd_max","pkt_len_bwd_mean","pkt_len_bwd_stdev","pkt_len_bwd_total","pkt_len_bwd_min","pkt_len_bwd_max","dd","dn","dns","ds","application","app","traffic_type","label"
"192.168.0.119",53736,"192.168.0.1",53,17,1721793709027411,337,2,2,1721793709027411,52,0,104,52,52,80,0,160,80,80,2,2,1721793709027748,52,0,104,52,52,80,0,160,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.131",58221,"142.250.193.163",443,17,1721793713747093,1217535,20,20,1721793714964628,484.8,549.0361,9696,31,1250,512.8,549.036,10256,59,1278,22,22,1721793714674922,520.4545,519.8412,11450,22,1250,548.4545,519.8411,12066,50,1278,"Unknown","Unknown","Unknown","Unknown","Snapchat","Snapchat","Unknown","dns"
"192.168.0.119",61028,"192.168.0.1",53,17,1721793713801265,16794977,6,6,1721793716826530,52,0,312,52,52,80,0,480,80,80,6,6,1721793730596242,52,0,312,52,52,80,0,480,80,80,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.237",57918,"185.164.205.12",443,6,1721793715976135,17568,3,1,1721793715979660,31,0,31,31,31,62.333332,14.6135435,187,52,83,5,2,1721793715993703,224.5,193.5,449,31,418,141.8,164.53862,709,52,470,"Unknown","Unknown","zsw.finkzeit.at","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.131",53240,"172.217.166.100",443,17,1721793716793953,1152764,14,14,1721793717946717,561,596.919,7854,31,1250,589,596.919,8246,59,1278,14,14,1721793717734008,560.5714,523.1864,7848,24,1250,588.5714,523.1864,8240,52,1278,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.237",37206,"192.168.0.1",53,17,1721793719046688,17579,4,4,1721793719046822,33,0,132,33,33,61,0,244,61,61,4,4,1721793719064267,64,15,256,49,79,92,15,368,77,107,"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","dns"
"192.168.0.237",57920,"185.164.205.12",443,6,1721793719065552,120113248,13,4,1721793839164201,194.25,122.89909,777,31,344,112.38461,112.32203,1461,52,396,13,8,1721793839178800,778.625,664.83344,6229,6,1448,531.7692,644.1349,6913,52,1500,"Unknown","Unknown","zsw.finkzeit.at","Unknown","Zoom","Zoom","Unknown","dns"
"192.168.0.30",44577,"162.159.200.1",123,17,1721793719110263,1434,2,2,1721793719110263,48,0,96,48,48,76,0,152,76,76,2,2,1721793719111697,48,0,96,48,48,76,0,152,76,76,"Cloudflare","Unknown","time.cloudflare.com","Unknown","Cloudflare","Discord","Unknown","dns"
"192.168.0.114",54898,"142.251.37.14",443,17,1721793719605336,191903,28,28,1721793719791977,426.64285,535.2027,11946,30,1250,454.64285,535.2027,12730,58,1278,24,24,1721793719797239,397.33334,484.04257,9536,21,1250,425.33334,484.04257,10208,49,1278,"Google Drive","Google","drive.google.com","Google Drive","Google Drive","Meta","Unknown","dns"
"192.168.0.131",57837,"54.224.241.105",443,6,1721793720681430,1515396,16,7,1721793722196826,170.14285,195.79977,1191,6,606,127.1875,154.25151,2035,52,658,17,11,1721793722016175,484.45456,547.15265,5329,6,1348,365.94116,497.01193,6221,52,1400,"Adobe","Amazon","ars.oobesaas.adobe.com/ars.adobe.io","Unknown","Adobe","Unknown","Unknown","dns"
